TYPE 	BIOMOD	FARMMOD	MANMOD	RESMOD	HTMOD	ATTMOD	DEFMOD	MINERALMOD
0,		1.3,	1.5,	.7,		.5,		.5,		1.5,	.5,		.6
1,		.5,		.2,		.4,		.4,		.2,		.4,		2.0,	1.2
2,		.2,		.1,		.2,		1.3,	.3,		.6,		1.5,	1.5
3,		.1,		.1,		.1,		.7,		.4,		.4,		1.3,	1.8
4,		.3,		1.8,	.6,		1.2,	.8,		.3,		.2,		1.2
5,		1.5,	1,		.7,		.6,		.5,		.6,		1.4,	1
6,		1.8,	2,		1,		.3,		.3,		1.5,	.3,		1
7,		1.2,	1.3,	1,		.5,		.7,		.5,		2.0,	.7
8,		.1,		.1,		1,		1.2,	1.5,	2,		.5,		2
9,		0,		0,		0,		0,		0,		.2,		3.0,	2.0
10,		.5,		.4,		.8,		.7,		.5,		.8,		.6,		1.3
11,		.7,		.5,		.7,		.8,		.7,		.9,		.7,		1.5
12,		.2,		.1,		.3,		1.5,	1.5,	.6,		.7,		1.5
13,		.05,	.1,		.1,		2.5,	3.0,	.3,		2.5,	0			
