TYPE	SIZE	HABI	IMOD	RING	MOON	MAXM	AMAT	HMAT	RMAT	ENER	REG1	REG2	REG3	REG4	REG5	REG6	REG7	REG8
1,   	0,0,   	5,5,   	115, 	0,   	0,   	0,	20,20,  35,30, 	10,15, 	30,	9,	9,	9,	13,	8,	13,	13,	13
2,	15,40,	10,10,	80,	5,	20,	1,	15,30,	35,30,	10,10,	20,	8,	8,	8,	1,	9,	8,	8,	9
3,	40,35,	5,15,	30,	5,	20,	1,	20,40,	40,45,	10,10,	20,	1,	8,	1,	0,	9,	1,	4,	9
4,	25,25,	30,20,	90,	5,	20,	1,	25,40,	35,35,	10,5,	20,	11,	11,	11,	11,	1,	9,	11,	11
5,	40,20,	60,30,	100,	5,	20,	1,	40,40,	40,40,	10,10,	25,	0,	1,	3,	4,	4,	5,	7,	10
6,	15,50,	15,15,	95,	10,	30,	2,	40,40,	15,15,	5,5,	15,	10,	10,	10,	1,	9,	10,	10,	9
7,	65,20,	2,10,	60,	20,	65,	5,	50,40,	20,20,	5,10,	60,	12,	12,	9,	9,	9,	9,	9,	9
8,	80,20,	0,5,	50,	30,	80,	10,	65,35,	5,10,	5,5,	70,	12,	12,	9,	9,	9,	12,	9,	9
9,	0,0,	7,5,	90,	0,	0,	0,	35,20,	5,5,	5,5,	20,	10,	10,	10,	10,	10,	10,	9,	9
10,	20,40,	5,7,	25,	5,	20,	1,	15,15,	55,35,	20,20,	40,	2,	2,	3,	3,	1,	9,	9,	2
11,	20,40,	5,5,	35,	5,	20,	1,	10,20,	35,30,	10,20,	25,	13,	13,	13,	13,	1,	3,	9,	9
12,	60,20,	55,30,	95,	10,	30,	2,	45,40,	50,35,	15,15,	30,	0,	1,	3,	4,	4,	5,	7,	10
13,	45,25,	50,40,	90,	5,	25,	2,	55,30,	40,35,	15,15,	30,	4,	4,	4,	4,	0,	9,	4,	4
14,	100,0,	0,0,	15,	15,	90,	15,	75,25,	5,5,	0,5,	80,	12,	9,	9,	9,	9,	9,	9,	9
15,	40,30,	30,60,	100,	5,	20,	1,	35,50,	45,40,	20,10,	30,	0,	0,	0,	0,	0,	9,	9,	9
16,	0,0,	1,2,	20,	0,	0,	0,	10,20,	10,10,	5,5,	5,	9,	9,	9,	9,	9,	9,	9,	9
17,	40,20,	75,20,	100,	5,	50,	3,	40,30,	10,30,	5,5,	50,	1,	1,	1,	1,	1,	1,	9,	4	
